[main_pcf_ver4.py:26 -             <module>() ] 2022-06-24 04:02:03,929 main: Start script
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:03,931 Connect arduino
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:03,931 /dev/ttyACM0
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:03,931 Configuration of serial: 
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:03,931 Serial<id=0xb665def8, open=True>(port='/dev/ttyACM0', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=None, xonxoff=False, rtscts=False, dsrdtr=False)
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:03,931 Else step Arduino
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:03,932 Start main script
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:07,139 Error connect to RFID reader
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:07,139 [Errno 113] No route to host
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:07,139 null_id :
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:07,140 435400040001
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:07,140 type(null_id) :
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:07,140 <class 'int'>
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:07,140 str(null_id) ;
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:07,140 435400040001
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:10,044 Error connect to RFID reader
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:10,044 [Errno 113] No route to host
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:10,044 null_id :
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:10,044 435400040001
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:10,045 type(null_id) :
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:10,045 <class 'int'>
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 04:02:10,045 str(null_id) ;
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 04:02:10,045 435400040001
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,615 --------------------------------------
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,615 3: Raw ID animal_id: 
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 06:10:20,615 b'4354001c004501c38d140a0c05fa010f0101e2806894000050103003bd94ce6c'
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,616 4: New ID animal_id_new: 
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 06:10:20,616 050103003bd9
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,616 5: Null id null_id : 
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 06:10:20,616 435400040001
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,617 6: Null id string null id
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 06:10:20,617 435400040001
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,617 --------------------------------------
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,618 After read cow ID :
[lib_pcf_ver4.py:26 -            print_log() ] 2022-06-24 06:10:20,618 050103003bd9
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,618 CONNECT ARDUINO
[lib_pcf_ver4.py:24 -            print_log() ] 2022-06-24 06:10:20,619 Connect arduino after flush
